index,word,,,,boundary,corrected,filler,comments,,,glossary,
132,out,out,79.82,80.12,0,,,,,,,
133,to,to,80.85,80.87,0,,,,,,,
134,the,the,81.04,81.34,0,,,,,,,
135,daytime,daytime,81.8,82.29,1,,,,,,,
136,and,and,82.29,82.32,0,,,,,,,
137,we,we,82.45,82.6,0,,,,,,,
138,get,get,82.599999,82.809999,0,,,,,,,
139,like,like,82.809999,83.199999,0,,1,,,,,
140,an,an,83.42,83.44,0,,,,,,,
141,image,image,83.44,83.58,0,,,,,,,
142,of,of,83.58,83.74,0,,,,,,,
143,his,his,83.74,84.08,0,,,,,,,
144,apartment,apartment,84.5,85.16,1,,,,,,,
145,and,and,85.16,85.55,0,,,,,,,
145a,he's,,,,0,,,,,,,
146,kind,,,,0,,2,,,,,
147,of,,,,0,,2,,,,,
148,like,like,86.21,86.43,0,,1,not sure if 'kind of' and 'like' are separate,,,,
149,walking,walking,86.87,87.3,0,,,,,,,
150,around,around,87.299999,87.589999,1,,,,,,,
151,they,they,87.589999,87.689999,0,,,,,,,
152,have,have,87.69,87.87,0,,,,,,,
153,a,a,87.87,87.94,0,,,,,,,
154,shot,shot,87.94,88.31,0,,,,,,,
155,of,of,88.32,88.34,0,,,,,,,
156,his,his,88.609999,88.879999,0,,,,,,,
157,mug,mug,88.91,89.33,0,,,,,,,
158,which,which,89.33,89.51,0,,,,,,,
159,has,has,89.51,89.72,0,,,,,,,
160,some,some,89.76,89.97,0,,,,,,,
161,kind,kind,89.969999,90.199999,0,,,,,,,
162,of,of,90.199999,90.359999,0,,,,,,,
163,like,like,90.359999,90.679999,0,,1,not sure if 'kind of' and 'like' are separate,,,,
164,sign,sign,91.47,91.87,0,,,,,,,
165,on,on,91.87,92.05,0,,,,,,,
166,it,it,92.05,92.21,4,,,,,,,
167,like,like,92.27,92.43,0,,,,,,,
168,a,a,92.43,92.69,0,,,,,,,
169,crest,crest,92.85,93.25,0,,,,,,,
170,almost,almost,93.27,93.75,1,,,,,,,
171,and,and,94.25,94.48,0,,,,,,,
172,then,then,94.48,94.76,0,,,,,,,
173,um,um,94.92,95.39,0,,1,,,,,
174,there's,there's,95.43,95.48,0,,,,,,,
175,like,like,95.65,95.73,0,,1,,,,,
176,a,a,95.73,95.78,0,,,,,,,
177,quick,quick,95.78,96.03,0,,,,,,,
178,shot,shot,96.03,96.31,0,,,,,,,
179,too,too,96.31,96.48,0,,,,,,,
180,of,of,96.48,96.62,0,,,,,,,
181,a,a,96.76,96.83,0,,,,,,,
182,gun,gun,96.83,97.07,0,,,,,,,
183,and,and,97.07,97.18,0,,,,,,,
184,a,a,97.18,97.24,0,,,,,,,
185,notebook,notebook,97.24,97.73,1,,,,,,,
186,and,and,98.23,98.47,0,,,,,,,
187,then,then,98.47,98.83,0,,,,,,,
188,it,it,98.889999,99.159999,0,,,,,,,
189,cuts,cuts,99.2,99.5,0,,,,,,,
190,to,to,99.67,99.85,0,,,,,,,
191,another,another,99.849999,100.229999,0,,,,,,,
192,clip,clip,100.23,100.51,0,,,,,,,
193,of,of,100.51,100.57,0,,,,,,,
194,the,the,102.059999,102.339999,0,,,,,,,
195,same,same,102.38,102.65,0,,,,,,,
196,man,man,102.66,102.94,0,,,,,,,
197,sitting,sitting,102.969999,103.259999,0,,,,,,,
198,in,in,103.259999,103.419999,0,,,,,,,
199,front,front,103.45,103.73,0,,,,,,,
200,of,of,103.74,104.01,0,,,,,,,
201,what,what,104.009999,104.249999,0,,,,,,,
202,we,we,104.25,104.47,0,,,,,,,
203,can,can,104.48,104.62,0,,,,,,,
204,assume,assume,104.62,104.7,0,,,,,,,
205,is,is,104.7,104.72,0,,,,,,,
206,his,his,105.21,105.3,0,,,,,,,
207,therapist,therapist,105.299999,105.769999,1,,,,,,,
208,and,and,106.48,106.98,0,,,,,,,
209,um,um,107.139999,107.889999,0,,1,,,,,
210,they're,they're,108.7,108.92,0,,,,,,,
211,talking,talking,108.98,109.76,1,,,,,,,
212,she,she,110.32,110.4,0,,,,,,,
213,says,says,110.4,110.75,0,,,,,,,
214,something,something,110.76,111.17,0,,,,,,,
215,about,,,,0,,,,,,,
216,him,,,,0,,,,,,,
217,still,still,111.57,111.76,0,,,,,,,
218,having,having,111.76,112,0,,,,,,,
219,trust,trust,112,112.33,0,,,,,,,
220,issues,issues,112.33,112.78,1,,,,,,,
221,and,and,112.78,113.08,2,,,,,,,
222,or,or,113.4,113.5,0,,,,,,,
223,no,no,113.5,113.79,2,,,prosody,,,,
224,she,she,113.99,114.21,0,,,,,,,
225,writes,writes,114.21,114.57,0,,,,,,,
226,that,that,114.59,114.93,1,,,,,,,
227,and,and,114.95,115.11,0,,,,,,,
228,then,then,115.11,115.44,0,,,,,,,
229,he,he,115.72,116.17,0,,,,,,,
230,reads,reads,116.32,116.58,0,,,,,,,
231,it,it,116.58,116.7,0,,,,,,,
232,upside,upside,116.7,116.93,0,,,,,,,
233,down,down,116.98,117.27,0,,,,,,,
234,and,and,117.27,117.54,0,,,,,,,
235,asks,asks,117.77,118.07,0,,,,,,,
236,her,her,118.13,118.39,0,,,,,,,
237,like,like,118.389999,118.619999,0,,1,,,,,
238,about,about,118.639999,118.959999,0,,,,,,,
239,writing,writing,118.96,119.27,0,,,,,,,
240,that,that,119.28,119.55,1,,,,,,,
241,and,and,119.57,119.78,0,,,,,,,
242,then,then,119.78,120,0,,,,,,,
243,um,um,120.009999,120.669999,0,,1,,,,,
244,she,,,,0,,,,,,,
245,confronts,<unk>,121.27,121.54,0,,,,,,,
246,him,him,121.54,121.66,0,,,,,,,
247,about,about,121.66,122.07,0,,,,,,,
248,reading,reading,122.12,122.49,0,,,,,,,
249,her,her,122.49,122.7,0,,,,,,,
250,writing,writing,122.7,122.99,0,,,,,,,
251,upside,upside,123,123.29,0,,,,,,,
252,down,down,123.29,123.56,1,,,,,,,
253,and,and,123.559999,123.819999,0,,,,,,,
254,it's,,,,0,,,,,,,
255,a,a,123.929999,123.949999,0,,,,,,,
256,very,very,123.95,124.15,0,,,,,,,
257,tense,tense,124.15,124.36,0,,,,,,,
258,situation,situation,124.359999,124.939999,1,,,,,,,
259,and,and,126.66,126.85,0,,,,,,,
260,then,then,126.85,127.16,0,,,,,,,
261,um,um,127.19,127.56,0,,1,,,,,
262,that,that,127.56,127.84,0,,,,,,,
263,immediately,immediately,127.87,128.41,0,,,,,,,
264,cuts,cuts,128.43,128.72,0,,,,,,,
265,out,out,128.72,129.01,1,,,,,,,
266,and,and,129.39,129.92,0,,,,,,,
267,we,we,130.13,130.68,0,,,,,,,
268,see,see,131.32,131.48,0,,,,,,,
269,a,a,132.07,132.15,0,,,,,,,
270,blonde,blonde,132.62,133.05,0,,,,,,,
271,woman,woman,133.05,133.64,1,,,,,,,
272,um,um,133.67,134.15,0,,1,,,,,
273,she's,she's,134.25,134.39,0,,,,,,,
274,in,in,134.389999,134.509999,0,,,,,,,
275,an,an,134.51,134.65,0,,,,,,,
276,office,office,134.679999,134.999999,0,,,,,,,
277,building,building,135.4,136.01,1,,,,,,,
278,she's,she's,136.03,136.22,0,,,,,,,
279,on,on,136.219999,136.349999,0,,,,,,,
280,the,,,,0,,,,,,,
281,phone,,,,0,,,,,,,
282,with,with,136.74,136.85,0,,,,,,,
283,a,a,136.849999,136.909999,0,,,,,,,
284,man,man,136.91,137.45,1,,,,,,,
285,and,and,138.05,138.53,0,,,,,,,
286,um,um,138.54,139.09,0,,1,,,,,
287,we're,we're,139.09,139.25,0,,,,,,,
288,not,not,139.25,139.59,0,,,,,,,
289,sure,sure,139.59,139.81,0,,,,,,,
290,what,what,139.809999,140.029999,0,,,,,,,
291,the,the,140.03,140.19,0,,,,,,,
292,relationship,relationship,140.19,140.81,0,,,,,,,
293,is,is,140.809999,140.939999,0,,,,,,,
294,between,between,141.389999,141.619999,0,,,,,,,
295,her,her,142.08,142.25,0,,,,,,,
296,and,and,142.25,142.36,0,,,,,,,
297,the,the,142.369999,142.499999,0,,,,,,,
298,man,man,142.5,142.91,1,,,,,,,
299,but,but,143.65,144.05,0,,,,,,,
300,uh,uh,144.109999,144.599999,0,,1,,,,,
301,she,she,144.849999,145.189999,0,,,,,,,
302,tells,tells,145.199999,145.459999,0,,,,,,,
303,him,,,,0,,,,,,,
304,to,,,,0,,,,,,,
305,get,get,145.73,145.93,0,,,,,,,
306,a,a,145.93,145.96,0,,,,,,,
307,taxi,taxi,145.96,146.44,0,,,,,,,
308,home,home,146.44,146.83,1,,,,,,,
309,and,and,148.39,148.55,0,,,,,,,
310,then,then,148.55,148.91,0,,,,,,,
311,um,um,148.95,149.78,0,,1,,,,,
312,right,,,,0,,,,,,,
313,after,after,150.5,151.24,0,,,,,,,
314,we,we,151.58,152.09,0,,,,,,,
315,see,see,152.64,152.79,0,,,,,,,
316,a,a,152.79,152.96,0,,,,,,,
317,clip,clip,153.51,153.61,0,,,,,,,
318,of,of,153.78,154.19,0,,,,,,,
319,a,a,154.34,154.45,0,,,,,,,
320,man,man,154.45,154.83,0,,,,,,,
321,taking,taking,155.32,155.82,0,,,,,,,
322,a,a,155.95,156.41,0,,,,,,,
323,pill,pill,156.83,157.18,0,,,,,,,
324,out,out,157.21,157.33,0,,,,,,,
325,of,of,157.33,157.49,0,,,,,,,
326,like,like,157.63,157.72,0,,1,,,,,
327,this,this,158.33,158.55,0,,,,,,,
328,clear,clear,158.91,159.28,0,,,,,,,
329,bottle,bottle,159.29,159.82,1,,,,,,,
330,and,and,160.18,160.65,0,,,,,,,
331,um,um,160.66,161.19,0,,1,,,,,
332,the,the,161.209999,161.359999,0,,,,,,,
333,pill,pill,161.359999,161.669999,0,,,,,,,
334,is,is,161.67,161.9,0,,,,,,,
335,white,white,161.91,162.35,0,,,,,,,
336,with,with,162.35,162.62,0,,,,,,,
337,red,red,162.73,163.11,0,,,,,,,
338,dots,dots,163.25,163.58,0,,,,,,,
339,on,on,163.58,163.72,0,,,,,,,
340,it,it,163.72,163.93,1,,,,,,,
341,and,and,164.29,164.55,0,,,,,,,
342,the,the,165.32,165.53,0,,,,,,,
343,the,the,165.71,166,0,,,repetition,,,,
344,scene,scene,166.56,166.83,0,,,,,,,
345,is,is,166.83,166.85,0,,,,,,,
346,pretty,,,,0,,,,,,,
347,hazy,,,,1,,,,,,,
348,so,,,,0,,,,,,,
349,you're,you're,167.22,167.49,0,,,,,,,
350,not,not,167.49,167.85,0,,,,,,,
351,exactly,exactly,167.85,168.2,0,,,,,,,
352,sure,sure,168.2,168.39,0,,,,,,,
353,what's,what's,168.39,168.49,0,,,,,,,
354,happening,happening,168.49,168.94,1,,,,,,,
355,looks,looks,169.24,169.5,0,,,,,,,
356,like,like,169.5,169.6,0,,,,,,,
357,he's,he's,169.8,169.87,0,,,,,,,
358,in,in,170.02,170.2,0,,,,,,,
359,some,some,170.29,170.47,0,,,,,,,
360,sort,sort,170.49,170.53,0,,,,,,,
361,of,of,170.7,170.9,0,,,,,,,
362,uh,uh,172.05,172.4,0,,1,,,,,
363,building,building,172.41,172.77,0,,,,,,,
364,though,though,172.77,172.92,4,,,,,,,
365,like,like,172.92,173.13,0,,1,,,,,
366,right,right,173.13,173.3,0,,,,,,,
367,up,up,173.3,173.49,0,,,,,,,
368,against,against,173.49,173.74,0,,,,,,,
369,the,the,173.74,173.86,0,,,,,,,
370,edge,edge,173.86,174.13,0,,,,,,,
371,in,in,174.13,174.26,0,,,,,,,
372,like,like,174.259999,174.499999,0,,1,,,,,
373,a,a,174.79,174.89,0,,,,,,,
374,glass,glass,174.889999,175.349999,0,,,,,,,
375,elevator,elevator,175.4,176.11,0,,,,,,,
376,or,or,176.11,176.19,0,,,,,,,
377,some,some,176.19,176.5,0,,,,,,,
378,small,small,176.54,176.85,0,,,,,,,
379,confined,confined,176.849999,177.269999,0,,,,,,,
380,area,area,177.309999,177.759999,1,,,,,,,
381,so,so,178.039999,178.159999,0,,2,,,,,
382,he's,he's,178.589999,178.719999,0,,,,,,,
382a,he's,,,,0,,,,,,,
383,shaking,shaking,179.049999,179.469999,1,,,,,,,
384,he,he,179.469999,179.589999,0,,,,,,,
385,takes,takes,179.589999,179.859999,0,,,,,,,
386,his,his,179.859999,179.919999,0,,,,,,,
387,pill,pill,180.09,180.59,1,,,,,,,
388,and,and,180.82,181.11,0,,,,,,,
389,then,then,181.11,181.44,0,,,,,,,
390,um,um,181.51,181.88,0,,1,,,,,
391,we,we,182.41,182.68,0,,,,,,,
392,see,see,182.75,182.77,0,,,,,,,
393,him,him,182.77,183.09,0,,,,,,,
394,press,press,183.09,183.35,0,,,,,,,
395,against,against,183.35,183.62,0,,,,,,,
396,the,the,183.76,184.31,0,,,,,,,
397,glass,glass,184.68,185.11,0,,,,,,,
398,from,from,185.13,185.49,0,,,,,,,
399,an,an,185.85,185.95,0,,,,,,,
400,outside,outside,185.99,186.52,0,,,,,,,
401,perspective,perspective,186.53,187.31,1,,,,,,,
402,and,and,188.19,188.32,0,,,,,,,
403,later,later,188.47,188.65,0,,,,,,,
404,it,it,188.68,188.74,0,,,,,,,
405,revealed,revealed,188.74,188.9,0,,,,,,,
406,that,that,189.07,189.3,0,,,,,,,
407,he,he,189.57,189.96,0,,,,,,,
408,died,died,190,190.42,1,,,,,,,
409,um,um,191.02,191.36,0,,1,,,,,
410,and,and,191.37,191.48,0,,,,,,,
411,it's,it's,191.48,191.75,0,,,,,,,
412,implied,implied,191.82,192.13,0,,,,,,,
413,that,that,192.13,192.24,0,,,,,,,
414,that,that,192.24,192.44,0,,,,,,,
415,pill,pill,192.44,192.73,0,,,,,,,
416,is,is,192.73,192.87,0,,,,,,,
417,the,the,192.87,192.98,0,,,,,,,
418,poison,poison,192.98,193.27,0,,,,,,,
419,that,that,193.29,193.44,0,,,,,,,
420,killed,killed,193.65,193.69,0,,,,,,,
421,him,him,193.69,193.82,1,,,,,,,
422,and,and,195.37,195.86,0,,,,,,,
423,um,um,195.87,196.56,0,,1,,,,,
424,then,then,196.58,196.88,0,,,,,,,
425,there's,there's,196.93,197.26,0,,,,,,,
426,a,a,197.299999,197.599999,0,,,,,,,
427,quick,quick,197.67,198.11,0,,,,,,,
428,scene,scene,198.57,198.8,0,,,,,,,
429,where,where,199.61,200.38,0,,,,,,,
430,uh,uh,201.23,201.78,0,,1,,,,,
431,someone,someone,201.82,202.32,2,,,,,,,
432,i'm,i'm,202.93,203.08,0,,,,,,,
433,not,not,203.08,203.32,0,,,,,,,
434,sure,sure,203.32,203.57,0,,,,,,,
435,who,who,203.57,203.82,0,,,,,,,
436,it,it,203.82,203.98,0,,,,,,,
437,was,was,203.98,204.32,3,,,,,,,
438,was,was,204.66,204.96,0,,,,,,,
439,saying,saying,205.06,205.57,0,,,,,,,
440,um,um,205.62,206.06,0,,1,,,,,
441,this,,,,0,,,,,,,
442,man,man,206.26,206.75,0,,,,,,,
443,like,like,206.76,206.96,0,,1,,,,,
444,he,,,,0,,,,,,,
445,was,,,,0,,,,,,,
446,a,a,207.179999,207.189999,0,,,,,,,
447,good,good,207.19,207.4,0,,,,,,,
448,person,person,207.4,207.92,1,,,,,,,
449,we're,we're,208.219999,208.389999,0,,,,,,,
450,not,not,208.389999,208.569999,0,,,,,,,
451,sure,sure,208.57,208.76,0,,,,,,,
452,why,why,208.76,208.97,0,,,,,,,
453,he,he,208.969999,209.099999,0,,,,,,,
454,died,died,209.099999,209.609999,4,,,,,,,
455,or,or,209.94,210.18,0,,,,,,,
456,i,i,210.179999,210.239999,0,,1,,,,,
457,mean,mean,210.24,210.46,0,,1,,,,,
458,why,why,210.469999,210.709999,0,,,,,,,
459,he,he,210.71,210.84,0,,,,,,,
460,would,would,210.84,211.11,0,,,,,,,
461,have,have,211.16,211.41,0,,,,,,,
462,committed,committed,211.429999,211.769999,0,,,,,,,
463,suicide,suicide,211.77,212.21,1,,,,,,,
464,and,and,212.21,212.35,0,,,,,,,
465,then,then,212.349999,212.489999,0,,,,,,,
466,the,the,212.49,212.66,0,,,,,,,
467,blonde,blonde,212.67,212.95,0,,,,,,,
468,woman,woman,212.95,213.19,0,,,,,,,
469,who,who,213.19,213.47,0,,,,,,,
470,spoke,spoke,213.509999,213.709999,0,,,,,,,
471,to,to,213.71,213.81,0,,,,,,,
472,him,him,213.809999,213.949999,0,,,,,,,
473,on,on,213.95,214.03,0,,,,,,,
474,the,the,214.039999,214.129999,0,,,,,,,
475,phone,phone,214.129999,214.309999,0,,,,,,,
476,earlier,earlier,214.309999,214.789999,0,,,,,,,
477,is,,,,0,,,,,,,
478,seen,,,,0,,,,,,,
479,in,in,215.48,215.57,0,,,,,,,
480,the,the,215.57,215.66,0,,,,,,,
481,background,background,215.66,216.27,0,,,,,,,
482,crying,crying,216.27,216.75,1,,,,,,,
483,and,and,216.76,216.79,0,,,,,,,
484,then,then,217.96,218.41,0,,,,,,,
485,we,we,218.8,218.94,0,,,,,,,
486,cut,cut,218.94,219.18,0,,,,,,,
487,to,to,219.21,219.38,0,,,,,,,
488,another,another,219.48,219.76,0,,,,,,,
489,scene,scene,219.81,220.01,0,,,,,,,
490,of,,,,0,,,,,,,
491,these,these,220.27,220.5,0,,,,,,,
492,two,two,220.61,221.09,0,,,,,,,
493,teenagers,teenagers,222.18,222.64,4,,,,,,,
494,maybe,maybe,222.65,223.01,0,,,,,,,
495,early,early,223.01,223.29,0,,,,,,,
496,twenties,twenties,223.29,223.62,4,,,prosody,,,,
497,these,these,223.7,223.73,0,,,,,,,
498,two,two,223.75,223.95,0,,,,,,,
499,guys,guys,223.99,224.41,0,,,,,,,
500,pretty,pretty,224.599999,224.779999,0,,,,,,,
501,young,young,224.78,225.14,0,,,,,,,
502,um,um,225.41,225.66,0,,1,,,,,
503,walking,walking,225.679999,226.029999,0,,,,,,,
504,in,in,226.03,226.05,0,,,,,,,
505,the,the,226.12,226.26,0,,,,,,,
506,rain,rain,226.26,226.56,1,,,,,,,
507,one,one,226.559999,226.699999,0,,,,,,,
508,of,of,226.7,226.8,0,,,,,,,
509,them,them,227.07,227.3,0,,,,,,,
510,doesn't,doesn't,227.349999,227.649999,0,,,,,,,
511,have,have,227.67,227.9,0,,,,,,,
512,his,his,228.05,228.08,0,,,,,,,
513,umbrella,umbrella,228.08,228.6,0,,,,,,,
514,and,and,228.99,229.19,0,,,,,,,
515,the,the,229.19,229.28,0,,,,,,,
516,other,other,229.28,229.48,0,,,,,,,
517,does,does,229.549999,229.909999,1,,,,,,,
518,and,and,229.91,229.94,0,,,,,,,
518a,it's,,,,2,,,,,,,
518b,um,,,,0,,1,,,,,
519,it's,it's,230.03,230.37,0,,,,,,,
520,raining,raining,231.28,231.58,1,,,,,,,
521,it's,it's,231.58,231.74,0,,,,,,,
522,dark,dark,231.77,231.95,1,,,,,,,
523,it's,it's,231.95,231.98,0,,,,,,,
524,in,in,231.98,232,0,,,,,,,
525,the,the,232.17,232.22,0,,,,,,,
526,evening,evening,232.23,232.68,1,,,,,,,
527,the,the,232.940001,233.050001,0,,,,,,,
528,one,one,233.049999,233.269999,0,,,,,,,
529,without,without,233.27,233.57,0,,,,,,,
530,the,the,233.57,233.71,0,,,,,,,
531,umbrella,umbrella,233.709999,234.199999,0,,,,,,,
532,tells,tells,234.379999,234.679999,0,,,,,,,
533,his,his,234.76,234.85,0,,,,,,,
534,friend,friend,234.85,235.1,1,,,,,,,
535,I'm,i'm,235.11,235.21,0,,,start of quote,,,,
536,gonna,gonna,235.21,235.37,0,,,,,,,
537,go,go,235.37,235.51,0,,,,,,,
538,back,back,235.51,235.83,0,,,,,,,
539,and,and,235.86,236.16,0,,,,,,,
540,get,get,236.22,236.38,0,,,,,,,
541,my,my,236.38,236.5,0,,,,,,,
542,umbrella,umbrella,236.5,236.81,0,,,,,,,
543,because,because,236.97,237.02,0,,,,,,,
544,it's,it's,237.02,237.1,0,,,,,,,
545,raining,raining,237.1,237.47,1,,,end of quote,,,,
546,and,and,238.27,238.41,0,,,,,,,
547,then,then,238.41,238.57,0,,2/0,we disagreed,,,,
548,so,so,238.65,238.99,0,,2,,,,,
549,he,he,239,239.33,0,,,,,,,
550,leaves,leaves,239.34,239.75,1,,,,,,,
551,and,and,239.89,240.28,0,,,,,,,
552,um,um,240.29,240.76,0,,1,,,,,
553,again,again,242.19,242.49,0,,2,,,,,
554,it's,it's,242.49,242.74,0,,,,,,,
555,kind,kind,243.08,243.24,0,,,,,,,
556,of,of,243.24,243.39,0,,,,,,,
557,unclear,unclear,243.389999,243.979999,0,,,,,,,
558,exactly,exactly,243.99,244.3,0,,,,,,,
559,what,what,244.309999,244.469999,0,,,,,,,
560,happens,happens,244.469999,244.879999,1,,,,,,,
561,but,but,244.889999,245.169999,0,,,,,,,
562,the,the,245.389999,245.589999,0,,,,,,,
563,friend,friend,245.63,246.11,0,,,,,,,
564,was,was,246.37,246.47,0,,,,,,,
565,waiting,waiting,246.52,246.87,0,,,,,,,
566,for,for,246.87,246.97,0,,,,,,,
567,awhile,awhile,246.969999,247.419999,1,,,,,,,
568,we,we,247.429999,247.659999,0,,,,,,,
569,can,can,247.7,247.9,0,,,,,,,
570,assume,assume,248.04,248.08,0,,,,,,,
571,that,that,248.09,248.23,0,,,,,,,
572,because,because,248.23,248.28,0,,,,,,,
573,he,he,248.28,248.3,0,,,,,,,
574,checks,checks,248.66,248.73,0,,,,,,,
575,his,his,248.9,249.05,0,,,,,,,
576,watch,watch,249.049999,249.319999,0,,,,,,,
577,a,a,249.32,249.33,0,,,,,,,
